day,newdata
5,may
5,may
5,may
5,may
5,may
5,may
6,may
6,may
6,may
6,may
7,may
7,may
7,may
7,may
8,may
8,may
8,may
8,may
8,may
8,may
8,may
8,may
8,may
8,may
8,may
9,may
9,may
9,may
9,may
9,may
9,may
9,may
9,may
9,may
9,may
12,may
13,may
13,may
13,may
13,may
13,may
13,may
13,may
13,may
13,may
13,may
13,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
14,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
15,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
16,may
19,may
19,may
19,may
19,may
19,may
19,may
19,may
19,may
20,may
20,may
20,may
20,may
20,may
20,may
20,may
20,may
20,may
20,may
20,may
20,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
21,may
23,may
23,may
23,may
23,may
23,may
23,may
23,may
23,may
23,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
26,may
27,may
27,may
27,may
27,may
27,may
27,may
28,may
28,may
28,may
28,may
28,may
28,may
28,may
28,may
28,may
28,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
29,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
30,may
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
2,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
3,jun
4,jun
4,jun
4,jun
4,jun
4,jun
4,jun
4,jun
4,jun
4,jun
4,jun
4,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
5,jun
6,jun
6,jun
6,jun
6,jun
6,jun
6,jun
6,jun
6,jun
6,jun
6,jun
6,jun
9,jun
9,jun
9,jun
9,jun
9,jun
9,jun
9,jun
9,jun
9,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
11,jun
12,jun
12,jun
12,jun
12,jun
12,jun
12,jun
12,jun
12,jun
12,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
16,jun
17,jun
17,jun
17,jun
17,jun
17,jun
17,jun
18,jun
18,jun
18,jun
18,jun
18,jun
18,jun
18,jun
18,jun
18,jun
18,jun
19,jun
19,jun
19,jun
19,jun
19,jun
19,jun
19,jun
19,jun
19,jun
19,jun
19,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
20,jun
23,jun
23,jun
23,jun
24,jun
26,jun
26,jun
26,jun
27,jun
27,jun
1,jul
1,jul
1,jul
3,jul
3,jul
4,jul
4,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
7,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
8,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
9,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
10,jul
11,jul
11,jul
11,jul
11,jul
11,jul
11,jul
11,jul
11,jul
14,jul
14,jul
14,jul
14,jul
14,jul
14,jul
14,jul
14,jul
14,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
15,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
16,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
17,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
18,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
21,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
22,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
23,jul
